English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
Get ready! The race is about to start.,准备好了！比赛即将开始。,In-app,shareplay_announcement_countdown,,needs_review,
Your friend disconnected.,好友已断线。,In-app,shareplay_announcement_disconnected,,needs_review,
You lost with %lld overtakes. Your friend: %lld.,你以 %lld 次超车落败。好友：%lld。,In-app,shareplay_announcement_lost %lld %lld,,needs_review,
Go!,开始！,In-app,shareplay_announcement_round_start,,needs_review,
The SharePlay session has ended.,SharePlay 连接已结束。,In-app,shareplay_announcement_session_ended,,needs_review,
It's a tie at %lld overtakes each.,双方各 %lld 次超车，平手。,In-app,shareplay_announcement_tie %lld %lld,,needs_review,
Waiting for your friend to join.,等待好友加入。,In-app,shareplay_announcement_waiting,,needs_review,
Waiting for your friend to finish.,等待好友完成。,In-app,shareplay_announcement_waiting_for_opponent,,needs_review,
You won with %lld overtakes. Your friend: %lld.,你以 %lld 次超车获胜！好友：%lld。,In-app,shareplay_announcement_won %lld %lld,,needs_review,
Starting in %lld,%lld 秒后开始,In-app,shareplay_countdown_accessibility %lld,,needs_review,
Get Ready!,准备！,In-app,shareplay_countdown_title,,needs_review,
Connection Lost,连接中断,In-app,shareplay_disconnected_title,,needs_review,
Done,完成,In-app,shareplay_done_button,,needs_review,
You: %lld  Friend: %lld,你：%lld  好友：%lld,In-app,shareplay_final_scores %lld %lld,,needs_review,
Your friend's: %lld,好友：%lld,In-app,shareplay_friend_overtakes %lld,,needs_review,
Leave,离开,In-app,shareplay_leave_button,,needs_review,
You,你,In-app,shareplay_local_player_name,,needs_review,
Your friend,好友,In-app,shareplay_opponent_fallback_name,,needs_review,
"%@, %lld overtakes, %lld lives remaining",%@，超车 %lld 次，剩余生命 %lld,In-app,shareplay_opponent_overtakes_accessibility %@ %lld %lld,,needs_review,
%@: %lld overtakes,%@：超车 %lld 次,In-app,shareplay_opponent_overtakes_row %@ %lld,,needs_review,
Friend score: %lld,好友分数：%lld,In-app,shareplay_opponent_score_accessibility_label %lld,,needs_review,
Friend,好友,In-app,shareplay_opponent_score_fallback_label,,needs_review,
Friend,好友,In-app,shareplay_opponent_score_label,,needs_review,
%@: %lld overtakes,%@：超车 %lld 次,In-app,shareplay_overtakes_row %@ %lld,,needs_review,
Bad Luck!,真可惜！,In-app,shareplay_result_lost,,needs_review,
Next round could go your way.,下一局说不定就轮到你了。,In-app,shareplay_result_lost_subtitle,,needs_review,
It's a Tie!,平手！,In-app,shareplay_result_tie,,needs_review,
What a race. You matched each other overtake for overtake.,精彩的一局。你们超车次数完全持平。,In-app,shareplay_result_tie_subtitle,,needs_review,
Match Result,对战结果,In-app,shareplay_result_title,,needs_review,
You Won!,你赢了！,In-app,shareplay_result_won,,needs_review,
Nice work. You crossed the line first!,漂亮！你先冲线！,In-app,shareplay_result_won_subtitle,,needs_review,
Play Again,再玩一次,In-app,shareplay_retry_button,,needs_review,
Your friend challenged you again?,好友又向你挑战？,In-app,shareplay_retry_challenge_title,,needs_review,
You didn't both confirm in time. Tap Leave to return to the menu.,你们未及时确认。点“离开”返回选单。,In-app,shareplay_retry_timed_out_body,,needs_review,
Rematch Timed Out,重赛确认逾时,In-app,shareplay_retry_timed_out_title,,needs_review,
Waiting for your friend to confirm...,等待好友确认...,In-app,shareplay_retry_waiting_for_opponent,,needs_review,
Accept when you're ready for the rematch.,准备好重赛时接受挑战。,In-app,shareplay_retry_waiting_for_you,,needs_review,
Rematch?,再来一局？,In-app,shareplay_retry_waiting_title,,needs_review,
"%@, %lld points, %lld lives remaining",%@，%lld 分，剩余生命 %lld,In-app,shareplay_score_accessibility %@ %lld %lld,,needs_review,
%@: %lld,%@：%lld,In-app,shareplay_score_row %@ %lld,,needs_review,
Your overtakes: %lld. Friend: %lld,你的超车：%lld。好友：%lld,In-app,shareplay_waiting_for_opponent_overtakes %lld %lld,,needs_review,
Your overtakes: %lld. Friend: %lld,你的超车：%lld。好友：%lld,In-app,shareplay_waiting_for_opponent_scores %lld %lld,,needs_review,
Waiting for your friend to finish...,等待好友完成...,In-app,shareplay_waiting_for_opponent_title,,needs_review,
Waiting for your friend...,等待好友...,In-app,shareplay_waiting_title,,needs_review,
Your overtakes: %lld,你的超车：%lld,In-app,shareplay_your_overtakes %lld,,needs_review,
You: %lld,你：%lld,In-app,shareplay_your_score_row %lld,,needs_review,
Hey Ho!,Hey Ho!,In-app,speed_alert_hey_ho,,needs_review,
Hey Ho! Speed increasing!,Hey Ho! 加速中！,In-app,speed_increase_announcement,,needs_review,
Speed increasing!,加速中！,In-app,speed_increasing_alert,,needs_review,
Cruise,巡航,In-app,speed_level_cruise,,needs_review,
Fast,快速,In-app,speed_level_fast,,needs_review,
Rapid,极速,In-app,speed_level_rapid,,needs_review,
All lanes safe,所有车道安全,In-app,tutorial_audio_lane_all,,needs_review,
Center,中间,In-app,tutorial_audio_lane_center,,needs_review,
Center and right,中间与右侧,In-app,tutorial_audio_lane_center_right,,needs_review,
Left,左侧,In-app,tutorial_audio_lane_left,,needs_review,
Left and center,左侧与中间,In-app,tutorial_audio_lane_left_center,,needs_review,
Left and right,左侧与右侧,In-app,tutorial_audio_lane_left_right,,needs_review,
Lane cue variants,车道提示变化,In-app,tutorial_audio_lane_modes_title,,needs_review,
Right,右侧,In-app,tutorial_audio_lane_right,,needs_review,
Plays safe lanes one note after another from left to right.,依序播放安全车道的音符，由左至右。,In-app,tutorial_audio_mode_description_arpeggio,,needs_review,
Plays all safe lanes at once as a chord.,同时以和弦播放所有安全车道。,In-app,tutorial_audio_mode_description_chord,,needs_review,
Plays short pulses in lane slots; an active pulse marks a safe lane.,在车道槽位播放短脉冲；启用的脉冲代表安全车道。,In-app,tutorial_audio_mode_description_lane_pulses,,needs_review,
Lane change cue variants,变道提示变化,In-app,tutorial_audio_move_modes_title,,needs_review,
Plays a success haptic for a safe lane and a move haptic for an unsafe lane.,安全车道播放成功触觉，危险车道播放移动触觉。,In-app,tutorial_audio_move_style_description_haptics,,needs_review,
Plays lane confirmation followed by a success or fail tone.,先播放车道确认，再播放成功或失败音。,In-app,tutorial_audio_move_style_description_lane_and_safety,,needs_review,
"Plays only the destination lane note, as you move left or right, so you can match it with the audio cue.",左右移动时只播放目标车道音，方便对照音效提示。,In-app,tutorial_audio_move_style_description_lane_confirmation,,needs_review,
Plays only a success or fail tone.,只播放成功或失败音。,In-app,tutorial_audio_move_style_description_safety_only,,needs_review,
Play,播放,In-app,tutorial_audio_play_preview,,needs_review,
Fail,失败,In-app,tutorial_audio_preview_fail,,needs_review,
Safe,安全,In-app,tutorial_audio_preview_safe,,needs_review,
Safe lane,安全车道,In-app,tutorial_audio_preview_safe_lane,,needs_review,
Unsafe,危险,In-app,tutorial_audio_preview_unsafe,,needs_review,
Unsafe lane,危险车道,In-app,tutorial_audio_preview_unsafe_lane,,needs_review,
Audio cue tutorial,音效提示教学,In-app,tutorial_audio_title,,needs_review,
%@ configured,已设置 %@,In-app,tutorial_configured %@,,needs_review,
Tutorial,教学,In-app,tutorial_help_button,,needs_review,
Tutorial,教学,In-app,tutorial_help_title,,needs_review,
Audio feedback mode,音效回馈模式,In-app,tutorial_section_audio_feedback_mode,,needs_review,
Description,说明,In-app,tutorial_section_description,,needs_review,
Lane change cue,变道提示,In-app,tutorial_section_lane_change_cue,,needs_review,
Speed increase warning feedback,加速警告回馈,In-app,tutorial_section_speed_warning_feedback,,needs_review,
Set %@,设为 %@,In-app,tutorial_set %@,,needs_review,
Announces the speed increase with VoiceOver.,以 VoiceOver 播报加速。,In-app,tutorial_speed_warning_description_announcement,,needs_review,
Plays a warning haptic before the speed increase.,加速前播放警告触觉。,In-app,tutorial_speed_warning_description_haptic,,needs_review,
Does not play any speed-increase warning.,不播放加速警告。,In-app,tutorial_speed_warning_description_none,,needs_review,
Plays a short three-note ascending warning chirp.,播放短促的三音上升警告。,In-app,tutorial_speed_warning_description_sound,,needs_review,
"RetroRapid! is a 3-lane racing game. Move left or right between the three positions. We play sounds to indicate which lanes are safe, and you must quickly move into a safe lane to overtake cars and avoid crashing.",RetroRapid! 是一款三车道竞速游戏。在左、中、右三个位置间移动。我们会用声音提示哪些车道安全，你必须快速移入安全车道来超车并避免撞车。,In-app,tutorial_voiceover_intro,,needs_review,
"Start or join a FaceTime call, then try Play with Friends again.",发起或加入 FaceTime 通话，然后再次尝试“与朋友一起玩”。,In-app,tvos_shareplay_facetime_required,,needs_review,
Polygon Racing,Polygon 竞速,In-app,vision_64bit_racing,,needs_review,
Classic,经典,In-app,vision_classic_title,,needs_review,
Classic race track,经典赛道,In-app,vision_classic_track,,needs_review,
Current lane,当前车道,In-app,vision_current_lane,,needs_review,
Game Over,游戏结束,In-app,vision_game_over,,needs_review,
"Score %lld, %lld lives, level %lld",得分 %lld，%lld 条命，等级 %lld,In-app,vision_hud_status_format,,needs_review,
Lane %lld,车道 %lld,In-app,vision_lane_format,,needs_review,
Level %lld,等级 %lld,In-app,vision_level_format,,needs_review,
The 3D car could not be loaded. Your race is still active in Classic. Try again.,无法加载 3D 赛车。比赛仍在经典模式中进行。请重试。,In-app,vision_model_unavailable,,needs_review,
"Race in a classic window, then move the same run onto your table in 3D.",在经典窗口中竞速，然后将同一场比赛以 3D 形式移到桌面上。,In-app,vision_play_description,,needs_review,
Play in 3D,以 3D 模式游玩,In-app,vision_play_in_3d,,needs_review,
Moves this race into a tabletop volume without restarting it,将比赛移到桌面体积中，而无需重新开始,In-app,vision_play_in_3d_hint,,needs_review,
Race controls,比赛控制,In-app,vision_race_controls,,needs_review,
Race status,比赛状态,In-app,vision_race_status,,needs_review,
"Score %lld, %lld lives, lane %lld of %lld, %@",得分 %lld，%lld 条命，车道 %lld/%lld，%@,In-app,vision_race_status_format,,needs_review,
Race track,赛道,In-app,vision_race_track_input_label,,needs_review,
Return to 2D,返回 2D,In-app,vision_return_to_2d,,needs_review,
Returns this race to its classic window without restarting it,将比赛返回经典窗口，而无需重新开始,In-app,vision_return_to_2d_hint,,needs_review,
Select lane,选择车道,In-app,vision_select_lane,,needs_review,
Couldn't start Play with Friends. Return to the Classic window and try again.,无法开始“与朋友一起玩”。请返回“经典”窗口，然后重试。,In-app,vision_shareplay_activation_failed,,needs_review,
Collision,碰撞,In-app,vision_state_collision,,needs_review,
Finished,已完成,In-app,vision_state_finished,,needs_review,
Paused,已暂停,In-app,vision_state_paused,,needs_review,
Racing,比赛中,In-app,vision_state_racing,,needs_review,
Ready,准备就绪,In-app,vision_state_ready,,needs_review,
3D road ready,3D 道路已就绪,In-app,vision_surface_ready,,needs_review,
Tabletop,桌面,In-app,vision_tabletop_title,,needs_review,
Tabletop race track,桌面赛道,In-app,vision_tabletop_track,,needs_review,
Unable to Switch Presentation,无法切换显示方式,In-app,vision_transition_alert_title,,needs_review,
x%lld,x%lld,In-app,x%lld,,needs_review,
RetroRapid: Retro Arcade Racer,RetroRapid: 复古街机赛车,App Store metadata,name,≤ 30 characters,needs_review,
Dodge Traffic Across 3 Lanes,三车道闪避无尽车流,App Store metadata,subtitle,≤ 30 characters,needs_review,
"car,high,score,overtake,reflex,offline,voiceover,haptics,controller,leaderboard,handheld,lcd,friends","超车赛,反应力,离线玩,触感反馈,手柄支持,无障碍,分数榜,成就榜,智能手表",App Store metadata,keywords,≤ 100 UTF-8 bytes,needs_review,
"Race friends free with SharePlay on iPhone and iPad. Dodge traffic together, rematch fast, and keep solo runs quick anywhere.",在 iPhone 与 iPad 上通过 SharePlay 免费与好友竞赛。三车道复古街机闪避车流，支持 VoiceOver，可解锁无限畅玩。,App Store metadata,promotionalText,≤ 170 characters,needs_review,
"RetroRapid! is a fast 3-lane arcade racer built for quick sessions and high-score chasing.

Dodge traffic and survive as speed keeps rising. Controls are easy to learn and hard to master, so every run becomes a reflex challenge.

Why players keep coming back:
- Quick, one-more-run arcade gameplay
- Live two-player SharePlay races on iPhone and iPad
- Friend races are free and never use daily plays
- Game Center leaderboards, achievements, and friend markers
- Play on iPhone, iPad, Mac, and Apple Watch
- Touch, swipe, keyboard, Digital Crown, and supported game controllers
- VoiceOver, audio cues, haptics, larger text, high contrast, and Reduce Motion support
- Works offline for quick races anytime
- Play free every day, or unlock Unlimited Plays once; no subscription
- No data collection

Crash, restart, and beat your best.

Players are saying:
""I am really a fan of this nice accessible game that I can just pick up and play! Finally, something that also works with the apple watch!""
- Datafile, App Store review

Featured in Create with Swift, Weekly Newsletter #96 (Indie App of the Week):
""But beyond the nostalgia and tight gameplay, what truly stands out is its accessibility.""","RetroRapid! 是一款快节奏的三车道街机赛车，适合短局游玩与挑战最高分。

闪避车流并在速度提升时撑下去。操作好学难精，因此每一局都是反应力的考验。

玩家会一再回来的原因：
- 快节奏「再来一局」街机玩法
- iPhone/iPad 上的 SharePlay 即时双人竞赛
- 好友对战免费，且不消耗每日次数
- Game Center 排行榜、成就与好友标记
- 可在 iPhone、iPad、Mac 与 Apple Watch 上玩
- 支持触控、滑动、键盘、Digital Crown 与兼容手柄
- VoiceOver、音效提示、触感反馈、较大字体、高对比与减少动态效果
- 离线也能随时快速开跑
- 每天免费游玩，或以一次性购买解锁无限畅玩，无订阅
- 不收集数据

撞车、重来，刷新你的最佳成绩。

Featured in Create with Swift, Weekly Newsletter #96 (Indie App of the Week)：
「除了怀旧感与紧凑玩法，真正突出的是无障碍设计。」",App Store metadata,description,≤ 4000 characters,needs_review,
"Discover two new visual styles: Cartridge and CRT. The new Style Gallery makes it easy to preview every theme before choosing your favorite.

SharePlay friend races now work on Mac too, alongside iPhone and iPad.

This update also improves performance, refines landscape layouts, polishes menus and game-over screens, and makes cars and helmets clearer across themes.

RetroRapid! is now fully localized in Turkish and Polish.

Thanks for racing with us.","探索 Cartridge 与 CRT 两种全新视觉风格。全新的风格画廊让你在选择最爱之前预览每个主题。

SharePlay 好友竞赛现在除了 iPhone 与 iPad，也能在 Mac 上进行。

此更新也提升性能与横向布局，改进菜单和游戏结束画面，并让所有主题中的车辆与头盔更加清晰。

RetroRapid! 现已完整支持土耳其语与波兰语。

感谢你与我们一起竞速。",App Store metadata,whatsNew,≤ 4000 characters,needs_review,
Unlimited Plays,无限畅玩,IAP,unlimitedPlays.name,≤ 30 characters,needs_review,
Play unlimited and support RetroRapid!,无限畅玩并支持 RetroRapid!,IAP,unlimitedPlays.description,≤ 45 characters,needs_review,
Streak 100,连胜 100,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0100.name,≤ 100 characters,needs_review,
Overtake 100 cars in one run.,在一局中超车 100 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0100.preEarnedDescription,≤ 200 characters,needs_review,
You overtook 100 cars in one run.,你在一局中超车 100 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0100.earnedDescription,≤ 200 characters,needs_review,
Streak 200,连胜 200,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0200.name,≤ 100 characters,needs_review,
Overtake 200 cars in one run.,在一局中超车 200 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0200.preEarnedDescription,≤ 200 characters,needs_review,
You overtook 200 cars in one run.,你在一局中超车 200 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0200.earnedDescription,≤ 200 characters,needs_review,
Streak 300,连胜 300,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0300.name,≤ 100 characters,needs_review,
Overtake 300 cars in one run.,在一局中超车 300 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0300.preEarnedDescription,≤ 200 characters,needs_review,
You overtook 300 cars in one run.,你在一局中超车 300 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0300.earnedDescription,≤ 200 characters,needs_review,
Streak 400,连胜 400,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0400.name,≤ 100 characters,needs_review,
Overtake 400 cars in one run.,在一局中超车 400 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0400.preEarnedDescription,≤ 200 characters,needs_review,
You overtook 400 cars in one run.,你在一局中超车 400 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0400.earnedDescription,≤ 200 characters,needs_review,
Streak 500,连胜 500,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0500.name,≤ 100 characters,needs_review,
Overtake 500 cars in one run.,在一局中超车 500 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0500.preEarnedDescription,≤ 200 characters,needs_review,
You overtook 500 cars in one run.,你在一局中超车 500 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0500.earnedDescription,≤ 200 characters,needs_review,
Streak 600,连胜 600,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0600.name,≤ 100 characters,needs_review,
Overtake 600 cars in one run.,在一局中超车 600 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0600.preEarnedDescription,≤ 200 characters,needs_review,
You overtook 600 cars in one run.,你在一局中超车 600 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0600.earnedDescription,≤ 200 characters,needs_review,
Streak 700,连胜 700,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0700.name,≤ 100 characters,needs_review,
Overtake 700 cars in one run.,在一局中超车 700 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0700.preEarnedDescription,≤ 200 characters,needs_review,
You overtook 700 cars in one run.,你在一局中超车 700 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0700.earnedDescription,≤ 200 characters,needs_review,
Streak 800,连胜 800,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0800.name,≤ 100 characters,needs_review,
Overtake 800 cars in one run.,在一局中超车 800 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0800.preEarnedDescription,≤ 200 characters,needs_review,
You overtook 800 cars in one run.,你在一局中超车 800 辆。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.run.overtakes.0800.earnedDescription,≤ 200 characters,needs_review,
Overlander 1K,Overlander 1K,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.001k.name,≤ 100 characters,needs_review,
"Overtake 1,000 cars in total.","总共超车 1,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.001k.preEarnedDescription,≤ 200 characters,needs_review,
"You overtook 1,000 cars in total.","你总共超车 1,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.001k.earnedDescription,≤ 200 characters,needs_review,
Overlander 5K,Overlander 5K,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.005k.name,≤ 100 characters,needs_review,
"Overtake 5,000 cars in total.","总共超车 5,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.005k.preEarnedDescription,≤ 200 characters,needs_review,
"You overtook 5,000 cars in total.","你总共超车 5,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.005k.earnedDescription,≤ 200 characters,needs_review,
Overlander 10K,Overlander 10K,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.010k.name,≤ 100 characters,needs_review,
"Overtake 10,000 cars in total.","总共超车 10,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.010k.preEarnedDescription,≤ 200 characters,needs_review,
"You overtook 10,000 cars in total.","你总共超车 10,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.010k.earnedDescription,≤ 200 characters,needs_review,
Overlander 20K,Overlander 20K,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.020k.name,≤ 100 characters,needs_review,
"Overtake 20,000 cars in total.","总共超车 20,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.020k.preEarnedDescription,≤ 200 characters,needs_review,
"You overtook 20,000 cars in total.","你总共超车 20,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.020k.earnedDescription,≤ 200 characters,needs_review,
Overlander 50K,Overlander 50K,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.050k.name,≤ 100 characters,needs_review,
"Overtake 50,000 cars in total.","总共超车 50,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.050k.preEarnedDescription,≤ 200 characters,needs_review,
"You overtook 50,000 cars in total.","你总共超车 50,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.050k.earnedDescription,≤ 200 characters,needs_review,
Overlander 100K,Overlander 100K,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.100k.name,≤ 100 characters,needs_review,
"Overtake 100,000 cars in total.","总共超车 100,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.100k.preEarnedDescription,≤ 200 characters,needs_review,
"You overtook 100,000 cars in total.","你总共超车 100,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.100k.earnedDescription,≤ 200 characters,needs_review,
Overlander 200K,Overlander 200K,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.200k.name,≤ 100 characters,needs_review,
"Overtake 200,000 cars in total.","总共超车 200,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.200k.preEarnedDescription,≤ 200 characters,needs_review,
"You overtook 200,000 cars in total.","你总共超车 200,000 辆。",Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.total.overtakes.200k.earnedDescription,≤ 200 characters,needs_review,
Tap Controls,点按操作,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.tap.name,≤ 100 characters,needs_review,
Complete a run using Tap controls.,使用点按操作完成一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.tap.preEarnedDescription,≤ 200 characters,needs_review,
You completed a run using Tap controls.,你使用点按操作完成了一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.tap.earnedDescription,≤ 200 characters,needs_review,
Swipe Controls,滑动操作,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.swipe.name,≤ 100 characters,needs_review,
Complete a run using Swipe controls.,使用滑动操作完成一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.swipe.preEarnedDescription,≤ 200 characters,needs_review,
You completed a run using Swipe controls.,你使用滑动操作完成了一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.swipe.earnedDescription,≤ 200 characters,needs_review,
Keyboard Controls,键盘操作,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.keyboard.name,≤ 100 characters,needs_review,
Complete a run using Keyboard controls.,使用键盘操作完成一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.keyboard.preEarnedDescription,≤ 200 characters,needs_review,
You completed a run using Keyboard controls.,你使用键盘操作完成了一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.keyboard.earnedDescription,≤ 200 characters,needs_review,
VoiceOver Controls,VoiceOver 操作,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.voiceover.name,≤ 100 characters,needs_review,
Complete a run using VoiceOver controls.,使用 VoiceOver 操作完成一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.voiceover.preEarnedDescription,≤ 200 characters,needs_review,
You completed a run using VoiceOver controls.,你使用 VoiceOver 操作完成了一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.voiceover.earnedDescription,≤ 200 characters,needs_review,
Digital Crown Controls,Digital Crown 操作,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.crown.name,≤ 100 characters,needs_review,
Complete a run using Digital Crown controls.,使用 Digital Crown 操作完成一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.crown.preEarnedDescription,≤ 200 characters,needs_review,
You completed a run using Digital Crown controls.,你使用 Digital Crown 操作完成了一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.crown.earnedDescription,≤ 200 characters,needs_review,
Game Controller Controls,游戏控制器操作,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.gamecontroller.name,≤ 100 characters,needs_review,
Complete a run using Game Controller controls.,使用游戏控制器完成一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.gamecontroller.preEarnedDescription,≤ 200 characters,needs_review,
You completed a run using Game Controller controls.,你使用游戏控制器完成了一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.control.gamecontroller.earnedDescription,≤ 200 characters,needs_review,
GAAD Assistive Week,GAAD 辅助科技周,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.event.gaad.assistive.name,≤ 100 characters,needs_review,
Complete a run during GAAD week using assistive technology.,在 GAAD 周期间使用辅助科技完成一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.event.gaad.assistive.preEarnedDescription,≤ 200 characters,needs_review,
You completed a run during GAAD week using assistive technology.,你在 GAAD 周期间使用辅助科技完成了一局。,Game Center,achievement.com.accessibilityUpTo11.RetroRacing.achievement.event.gaad.assistive.earnedDescription,≤ 200 characters,needs_review,
iPhone High Score - Cruise,iPhone 最高分 - Cruise,Game Center,leaderboard.bestios001cruise.displayName,≤ 30 characters,needs_review,
Overtake as many cars as you can in one run.,在一局中尽可能超过更多车辆。,Game Center,leaderboard.bestios001cruise.description,≤ 500 characters,needs_review,
Cruise,Cruise,Game Center,leaderboard.bestios001cruise.difficulty,,needs_review,
overtake,超车,Game Center,leaderboard.bestios001cruise.suffixSingular,,needs_review,
overtakes,超车,Game Center,leaderboard.bestios001cruise.suffixPlural,,needs_review,
iPhone High Score - Fast,iPhone 最高分 - 快速,Game Center,leaderboard.bestios001fast.displayName,≤ 30 characters,needs_review,
Overtake as many cars as you can in one run.,在一局中尽可能超过更多车辆。,Game Center,leaderboard.bestios001fast.description,≤ 500 characters,needs_review,
Fast,Fast,Game Center,leaderboard.bestios001fast.difficulty,,needs_review,
overtake,超车,Game Center,leaderboard.bestios001fast.suffixSingular,,needs_review,
overtakes,超车,Game Center,leaderboard.bestios001fast.suffixPlural,,needs_review,
iPhone High Score - Rapid,iPhone 最高分 - Rapid,Game Center,leaderboard.bestios001test.displayName,≤ 30 characters,needs_review,
Overtake as many cars as you can in one run.,在一局中尽可能超过更多车辆。,Game Center,leaderboard.bestios001test.description,≤ 500 characters,needs_review,
Rapid,Rapid,Game Center,leaderboard.bestios001test.difficulty,,needs_review,
overtake,超车,Game Center,leaderboard.bestios001test.suffixSingular,,needs_review,
overtakes,超车,Game Center,leaderboard.bestios001test.suffixPlural,,needs_review,
iPad High Score - Cruise,iPad 最高分 - Cruise,Game Center,leaderboard.bestipad001cruise.displayName,≤ 30 characters,needs_review,
Overtake as many cars as you can in one run.,在一局中尽可能超过更多车辆。,Game Center,leaderboard.bestipad001cruise.description,≤ 500 characters,needs_review,
Cruise,Cruise,Game Center,leaderboard.bestipad001cruise.difficulty,,needs_review,
overtake,超车,Game Center,leaderboard.bestipad001cruise.suffixSingular,,needs_review,
